Age,Education Level,Job Title,Years of Experience,Salary
25,High School,Software Engineer,5,58376
44,High School,Data Analyst,17,42973
37,Bachelor's,Manager,12,92730
44,PhD,Data Analyst,12,102229
23,PhD,Data Analyst,0,98064
38,Master's,Data Analyst,11,97292
37,High School,Sales Representative,6,36884
25,Master's,Sales Representative,6,56736
30,High School,Sales Representative,4,38119
40,PhD,Sales Representative,13,60469
59,High School,Data Analyst,22,56775
26,PhD,Data Analyst,5,113951
41,Master's,Manager,15,115680
51,Bachelor's,Sales Representative,18,55156
42,Master's,Software Engineer,12,117317
57,PhD,Software Engineer,21,108511
26,PhD,Manager,2,111282
50,Bachelor's,Data Analyst,18,57317
43,Master's,Data Analyst,14,105002
37,Master's,Software Engineer,10,85211
30,Master's,Data Analyst,8,89061
56,Master's,Software Engineer,23,115399
55,PhD,Manager,18,128778
33,Master's,Data Analyst,8,90466
38,High School,Data Analyst,12,43878
23,Bachelor's,Manager,2,90144
24,Bachelor's,Software Engineer,3,81917
29,Bachelor's,Data Analyst,5,62491
25,Bachelor's,Manager,2,78462
40,Bachelor's,Data Analyst,13,65961
28,High School,Manager,7,61348
51,High School,Sales Representative,21,49703
49,Bachelor's,Software Engineer,16,91250
51,High School,Sales Representative,18,39967
53,Bachelor's,Sales Representative,16,53366
47,PhD,Software Engineer,16,114337
22,Master's,Sales Representative,2,53060
36,High School,Software Engineer,11,63062
46,High School,Manager,16,77340
51,High School,Data Analyst,21,52405
58,Bachelor's,Data Analyst,23,91708
52,High School,Sales Representative,23,48220
31,PhD,Data Analyst,6,78016
45,High School,Manager,18,75969
59,High School,Software Engineer,24,67376
26,PhD,Sales Representative,3,60550
59,Master's,Sales Representative,24,69095
39,Bachelor's,Software Engineer,11,73355
40,PhD,Software Engineer,14,101394
39,Master's,Data Analyst,9,103285
60,High School,Manager,25,69995
33,PhD,Manager,8,114367
33,Bachelor's,Manager,7,83673
31,Master's,Data Analyst,4,99795
51,Bachelor's,Manager,17,78748
43,Master's,Manager,14,104329
59,High School,Software Engineer,26,53924
33,Master's,Software Engineer,8,103416
28,Master's,Manager,4,96900
40,PhD,Sales Representative,10,61289
40,High School,Manager,9,58997
52,Bachelor's,Sales Representative,22,59054
39,Bachelor's,Software Engineer,8,81081
57,Master's,Sales Representative,20,62315
47,Bachelor's,Sales Representative,15,55624
29,PhD,Software Engineer,6,106787
22,PhD,Software Engineer,0,82556
47,PhD,Data Analyst,15,94166
23,Bachelor's,Software Engineer,3,63835
52,High School,Sales Representative,22,49300
26,PhD,Sales Representative,3,55821
44,High School,Software Engineer,16,53106
32,Bachelor's,Sales Representative,10,39207
38,Master's,Data Analyst,12,97930
37,Bachelor's,Data Analyst,12,69735
46,PhD,Manager,15,111952
35,PhD,Sales Representative,9,56860
24,Master's,Sales Representative,0,49471
21,Bachelor's,Manager,2,78609
28,High School,Manager,4,66482
28,Master's,Data Analyst,6,73603
49,Master's,Software Engineer,19,99688
25,Bachelor's,Software Engineer,1,87086
21,Bachelor's,Data Analyst,0,64912
45,PhD,Software Engineer,11,101706
54,Bachelor's,Software Engineer,21,96844
25,Bachelor's,Manager,0,77562
27,High School,Software Engineer,3,43395
57,Bachelor's,Software Engineer,17,87478
26,High School,Data Analyst,3,44562
30,Master's,Sales Representative,8,53658
28,High School,Manager,3,62490
39,Bachelor's,Software Engineer,6,82573
29,Bachelor's,Software Engineer,5,73304
40,Master's,Data Analyst,8,76151
50,Master's,Manager,14,108734
47,High School,Manager,12,66209
32,Bachelor's,Sales Representative,5,53303
35,Bachelor's,Data Analyst,12,86988
39,Master's,Software Engineer,10,104660
59,Master's,Software Engineer,24,114985
21,PhD,Software Engineer,1,103745
24,Bachelor's,Data Analyst,2,61121
27,High School,Sales Representative,0,27593
25,Master's,Sales Representative,0,51830
33,Bachelor's,Software Engineer,5,73078
48,PhD,Manager,16,119377
47,PhD,Manager,14,123893
31,Bachelor's,Sales Representative,5,52137
45,High School,Software Engineer,12,51765
52,High School,Data Analyst,15,45387
33,PhD,Sales Representative,9,59920
31,High School,Sales Representative,7,35966
26,Bachelor's,Manager,1,82204
42,Bachelor's,Manager,13,90977
23,High School,Software Engineer,0,39858
45,PhD,Data Analyst,15,92186
53,Bachelor's,Software Engineer,20,82205
47,Bachelor's,Data Analyst,20,84732
46,Master's,Data Analyst,16,105775
24,High School,Data Analyst,3,41637
23,Bachelor's,Sales Representative,3,50917
29,Bachelor's,Sales Representative,4,47100
26,Master's,Data Analyst,4,72521
38,Master's,Data Analyst,10,88710
58,Master's,Sales Representative,24,64730
53,Bachelor's,Manager,17,81961
32,PhD,Sales Representative,4,65616
59,Bachelor's,Data Analyst,27,88577
30,Master's,Software Engineer,5,94031
53,Bachelor's,Data Analyst,18,61032
26,Bachelor's,Sales Representative,4,48350
44,PhD,Manager,12,108758
53,Bachelor's,Sales Representative,19,54827
60,High School,Manager,23,63083
27,PhD,Software Engineer,1,123192
54,Bachelor's,Software Engineer,20,88480
28,Master's,Data Analyst,1,79972
49,PhD,Manager,17,113658
44,Master's,Sales Representative,13,64670
53,High School,Software Engineer,18,63094
24,PhD,Software Engineer,0,101263
50,High School,Software Engineer,20,65589
25,High School,Data Analyst,4,37744
55,PhD,Manager,21,109757
41,Master's,Software Engineer,13,111177
44,Master's,Manager,10,93393
44,High School,Manager,12,67567
52,Bachelor's,Manager,18,96298
33,High School,Sales Representative,11,43518
60,PhD,Sales Representative,21,80677
47,Bachelor's,Manager,16,90226
59,High School,Sales Representative,25,48037
33,Bachelor's,Sales Representative,7,45873
40,Master's,Software Engineer,13,108501
57,High School,Manager,23,62934
44,Bachelor's,Manager,11,84641
43,PhD,Sales Representative,14,69797
45,High School,Software Engineer,16,67815
27,Master's,Manager,6,111173
51,Master's,Software Engineer,18,110636
56,Master's,Manager,23,121093
32,Bachelor's,Manager,3,76018
57,PhD,Software Engineer,21,113402
38,Bachelor's,Software Engineer,14,78872
46,Master's,Software Engineer,16,108712
26,High School,Software Engineer,2,49173
33,Bachelor's,Software Engineer,5,87657
22,High School,Software Engineer,3,58407
40,Master's,Software Engineer,11,112819
32,PhD,Manager,7,134766
60,PhD,Sales Representative,19,73577
26,High School,Software Engineer,3,47505
34,Master's,Manager,8,120047
55,PhD,Software Engineer,22,139419
29,High School,Data Analyst,5,45932
52,Master's,Sales Representative,17,62233
38,PhD,Sales Representative,10,54152
52,High School,Data Analyst,22,64294
22,Bachelor's,Data Analyst,0,62638
59,Bachelor's,Software Engineer,24,87127
32,PhD,Sales Representative,4,55916
49,PhD,Sales Representative,14,60800
28,High School,Data Analyst,1,39367
41,Bachelor's,Sales Representative,10,49429
33,Master's,Software Engineer,7,87748
55,PhD,Manager,20,116046
28,Bachelor's,Manager,7,86328
44,Bachelor's,Software Engineer,16,87129
55,PhD,Data Analyst,22,98836
51,High School,Data Analyst,19,49271
32,Master's,Data Analyst,4,99813
37,PhD,Manager,9,110433
57,Bachelor's,Sales Representative,18,48883
40,PhD,Manager,10,123951
29,Master's,Manager,8,117297
50,Bachelor's,Sales Representative,18,52067
49,Bachelor's,Manager,15,80583
60,PhD,Data Analyst,23,101831
28,Bachelor's,Sales Representative,4,52106
29,High School,Software Engineer,3,46513
